"Timestamp","1- Gender:","2- On which do you play the most?","3- What Game genres do you play the most?","4- How often do you play video games?","5- How many hours do you spend playing video games in one day?","6- Do you prefer to play alone or with your friends (either online or offline)?","7- Do you play for a professional team or take part in professional gaming tournaments?","8- Mainly, why do you play video games?","9- How many hours do you sleep at night every day?","10- Do you have difficulty sleeping?","11- How long does it usually take you to sleep after going to bed?","12- Do you randomly wake up in the middle of the night?","13- How many times do you wake up in one night?","14- Do you believe there is a direct correlation between gaming addiction and Insomnia?","15- Do you feel exhausted after waking up in the morning?","16- Do you have trouble focusing or paying attention during the day?","17- Did you notice any changes in your sleep schedule after starting to play video games?","18- What changes did you notice in your sleep routine? ","19- How do you think video games affect your sleep?","20- Did you try to reduce gaming time to enhance your sleep quality?","21- If “yes”, what results did you observe after reducing your gaming time?","22- From your perspective, can you determine the role of media in spreading awareness about the effects of video games on the increasing rates of insomnia? ","23- What are your suggestions regarding this matter?"
"2024/03/20 11:00:58 pm GMT+3","Male.","Xbox.","Shooting games.;Action Games.;Simulator games.","Daily.","More than 9 hours.","Together.","Planning on playing professionally.","للتسليه","Less than 1 hour.","Yes.","Less than 1 hour.","Yes.","More than 3 times every day.","Yes.","Yes.","Yes.","Yes.","Difficulty sleeping.;Lack of sleep.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","No.","","Outstanding.",""
"2024/03/20 11:05:52 pm GMT+3","Female.","Mobile.","Strategy games.","Rarely (once or twice a month).","1-3 hours.","Together.","No.","To beat boredom.","3-6 hours.","Never.","Less than 1 hour.","Never.","I don’t.","Yes.","Occasionally.","Yes.","I don't know.","Nothing","Low physical activity while gaming causes irregularities in sleep.","No.","","Average.",""
"2024/03/20 11:09:06 pm GMT+3","Female.","Mobile.","Survival games.","sometimes (once or twice a week).","1-3 hours.","Together.","No.","To beat boredom.","3-6 hours.","Yes.","1 to 3 hours.","Yes.","More than 3 times every day.","Maybe.","Yes.","Yes.","Yes.","all of the above ","Disordered sleeping schedule as a result of gaming late at night.","No.","","Average.",""
"2024/03/20 11:09:17 pm GMT+3","Female.","Mobile.","Action Games.;Open-world games.","Rarely (once or twice a month).","1-3 hours.","Alone.","No.","To socialise and play with friends.","6-8 hours.","Never.","1 to 3 hours.","Rarely.","I don’t.","Maybe.","Never.","Never.","I don't know.","Feeling tired/exhausted.;Difficulty focusing.;Sudden mood swings.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Better attention.;Elevated mood.","Average.",""
"2024/03/20 11:12:23 pm GMT+3","Male.","Personal Computer (PC).","RGP games.;Survival games.;Open-world games.","Daily.","7-9 hours.","Alone.","No.","To beat boredom.","6-8 hours.","Rarely.","Less than 1 hour.","Rarely.","I don’t.","No.","Rarely.","Rarely.","Maybe.","Lack of sleep.;Feeling tired/exhausted.;Sudden mood swings.","Low physical activity while gaming causes irregularities in sleep.;Disordered sleeping schedule as a result of gaming late at night.","Yes.","Increased productivity.","Average.",""
"2024/03/20 11:13:49 pm GMT+3","Male.","sony.","Shooting games.;Open-world games.;Gacha games.","Regularly (several times a week).","4-6 hours.","Together.","No.","To relieve stress and tension.","6-8 hours.","Never.","Less than 1 hour.","Rarely.","Twice or 3 times maximum.","Yes.","Yes.","Rarely.","No.","Feeling tired/exhausted.","Blue light emitted from screens prevents melatonin.","No.","Elevated mood.;","Good.","I don't know but go touch the grass and sleep well and then to play a lot and do your hobbies and be happy and I hope you have a good life"
"2024/03/20 11:20:47 pm GMT+3","Female.","Mobile.","Action Games.;Sports games.;Strategy games.","Rarely (once or twice a month).","1-3 hours.","Together.","No.","To beat boredom.","3-6 hours.","Yes.","1 to 3 hours.","Yes.","More than 3 times every day.","Maybe.","Yes.","Yes.","No.","Lack of sleep.","Blue light emitted from screens prevents melatonin.;Disordered sleeping schedule as a result of gaming late at night.","No.","","Weak.","Setting limitations on the games similar to screen time for phone "
"2024/03/20 11:21:53 pm GMT+3","Female.","Personal Computer (PC).","Shooting games.;Open-world games.","Daily.","1-3 hours.","Together.","Yes.","To relieve stress and tension.","6-8 hours.","Occasionally.","Less than 1 hour.","Yes.","Twice or 3 times maximum.","Maybe.","Occasionally.","Yes.","Yes.","Lack of sleep.;Feeling tired/exhausted.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Better attention.","Average.",""
"2024/03/20 11:22:55 pm GMT+3","Female.","Personal Computer (PC).","Shooting games.;Action Games.;Fighting games.","sometimes (once or twice a week).","1-3 hours.","Together.","No.","To socialise and play with friends.","3-6 hours.","Yes.","More than 3 hours.","Never.","I don’t.","Maybe.","Yes.","Yes.","No.","Difficulty sleeping.;Lack of sleep.;Feeling tired/exhausted.","Low physical activity while gaming causes irregularities in sleep.","No.",".","Average.","Non"
"2024/03/20 11:23:37 pm GMT+3","Female.","Mobile.","Shooting games.;RGP games.;Action Games.","sometimes (once or twice a week).","1-3 hours.","Alone.","No.","As a reward after completing academic tasks.","Less than 1 hour.","Occasionally.","Less than 1 hour.","Occasionally.","Twice or 3 times maximum.","I don't know.","Yes.","Never.","Yes.","Lack of sleep.;Feeling tired/exhausted.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Excitement and constant stimulation from gaming make it difficult to relax and sleep.","No.","Enhanced sleep quality.;Increased productivity.","Average.",""
